"Code","Contact_URL","Typical_Duration","Min_UOC_For_Award","Program_Description","Program_Structure"
"8910","mailto:education@unsw.edu.au","1 Years  ","48",,"The program 8910 consists of courses to the value of 48 units of credit (normally eight courses). This program offers nine areas of specialisation:For Assessment and Evaluation specialisation structure: click here.For Educational Psychology specialisation structure: click here. For Educational Studies specialisation structure: click here. For Gifted Education specialisation structure: click here.For Higher Education specialisation structure: click here.For Special Education specialisation structure: click here.For Teacher Leadership specialisation structure: click here.For TESOL specialisation structure: click here.For Visual Arts Education specialisation structure: click here.Elective Courses in EducationEDST5032 Ethnographic Methodology (6 UOC)EDST5101 Experimental Research Design (6 UOC)EDST5103 Survey Research (6 UOC)EDST5104 Educational Assessment (6 UOC)EDST5105 Digital Literacies (6 UOC)EDST5106 Behaviour Management (6 UOC)EDST5107 High Incidence Disabilities (6 UOC)EDST5108 Measurement in Education (6 UOC)EDST5110 Leadership for Gifted Students (6 UOC)EDST5111 Intellectual Disabilities (6 UOC)EDST5113 Students with ASD (6 UOC)EDST5114 Curriculum and Assessment (6 UOC)EDST5118 Prof Practice SpEd (6 UOC)EDST5120 Qualitative Research (6 UOC)EDST5121 Introduction to University L&T (6 UOC)EDST5122 Student Learning in HE (6 UOC)EDST5123 Educational Design in HE (6 UOC)EDST5124 Enhancing L&T in HE (6 UOC)EDST5126 Issues in Higher Education (6 UOC)EDST5127 Coaching and Mentoring (6 UOC)EDST5128 Communication Disorders (6 UOC)EDST5129 Transitions (6 UOC)EDST5130 Leadership in Action (6 UOC)EDST5131 Oral Communication (6 UOC)EDST5138 Inclusive Education (6 UOC)EDST5140 Visual Arts Education Issues (6 UOC)EDST5141 Crit Engage Indigenous Edu (6 UOC)EDST5142 Leading Educational Change (6 UOC)EDST5144 Theoretical Domains VisArtEd (6 UOC)EDST5145 Mentoring Practicum (6 UOC)EDST5146 Teacher Eval and Improvement (6 UOC)EDST5147 Thesis Writing & Presentation (6 UOC)EDST5150 Teacher Language Awareness (6 UOC)EDST5303 Learning and Problem Solving (6 UOC)EDST5306 Human Development & Education (6 UOC)EDST5307 Mental Processes (6 UOC)EDST5308 Teacher Learning (6 UOC)EDST5313 Learning: Research and Prac (6 UOC)EDST5314 Building Resilience (6 UOC)EDST5320 Individual Differences (6 UOC)EDST5321 Motivation in Education (6 UOC)EDST5325 TESOL Professional Practice (6 UOC)EDST5433 Organisation Theory in Educ. (6 UOC)EDST5436 Evaluation of Educ Prog (6 UOC)EDST5438 Leadership Theory (6 UOC)EDST5440 Adv TESOL Method (6 UOC)EDST5441 Adv TESOL Curric & Assessment (6 UOC)EDST5443 Assessment for Learning (6 UOC)EDST5445 Workplace Lead Dev Project (6 UOC)EDST5448 Classroom-based Research (6 UOC)EDST5450 Leading Individuals & Teams (6 UOC)EDST5451 Ed Policy: Theory & Practice (6 UOC)EDST5452 Issues in Language Education (6 UOC)EDST5453 Culture and Curriculum (6 UOC)EDST5454 Developing Literacies (6 UOC)EDST5455 HRM in Education (6 UOC)EDST5456 Language and Learning (6 UOC)EDST5457 Literature Review in Education (6 UOC)EDST5458 Researching Special Education (6 UOC)EDST5460 Specialist Study in Education (6 UOC)EDST5462 Teacher Leadership (6 UOC)EDST5463 Engaging Ed Research Lit (6 UOC)EDST5608 Effective Schools (6 UOC)EDST5802 Identification of GS (6 UOC)EDST5803 Devlp Effect Programs for GS (6 UOC)EDST5805 Curr Diff & Assess in GiftedEd (6 UOC)EDST5806 Creativity & Giftedness (6 UOC)EDST5807 Social & Emot. Devel. of IGC (6 UOC)EDST5808 Key Concepts in Gifted Ed (6 UOC)EDST5888 Project (6 UOC)ARTS5503 Academic Writing for the Humanities (6 UOC)ARTS5505 Personalised English Language Enhancement (6 UOC)These courses, ARTS5503 and ARTS5505, can be taken as additional courses but will not count towards your program.Entry RequirementsA recognised Bachelor degree and a postgraduate teaching qualification (e.g. Graduate Diploma of Education or Master of Teaching)ORA four year pre-service teacher education qualification, including professional experience, equivalent to the qualifications required for Graduate teacher status in NSW.Credit TransferIf you are seeking credit transfer you must submit documentary evidence of courses completed at the time of initial enrolment. Faculty will then determine the number of units of credit to be granted. Credit transfer will not be granted for courses completed more than ten years previously. The maximum credit transfer for a Masters is 24 UOC (equivalent to four courses), and a Graduate Certificate is 12 UOC (equivalent to two courses).Award with ExcellenceYou are eligible for the award of a degree ""with Excellence"" if you achieve a Weighted Average Mark (WAM) of at least 80 in all courses and complete at least 50% of the requirements of your award at UNSW."
"7401","mailto:education@unsw.edu.au","0.5 Years  ","24",,"The program consists of courses to the value of 24 units of credit (normally four courses).This program offers eight areas of specialisation:For Assessment and Evaluation specialisation structure: click here.For Educational Psychology specialisation structure: click here.For Educational Studies* specialisation structure: click here. For Gifted Education specialisation structure: click here.For Special Education specialisation structure: click here.For Teacher Leadership specialisation structure: click here.For TESOL specialisation structure: click here.For Visual Arts specialisation structure: click here.*stream available to international students and can be completed in one semesterARTS5503 Academic Writing for the Humanities (6 UOC)ARTS5505 Personalised English Language Enhancement (6 UOC)These courses, ARTS5503 and ARTS5505, can be taken as additional courses but will not count towards your program.Entry RequirementsStudents must meet the following selection requirements for entry to the Graduate Certificate of Education and the Master of Education:A recognised Bachelor degree and a postgraduate teaching qualification (e.g. Graduate Diploma of Education or Master of Teaching).ORA four year pre-service teacher education qualification, including professional experience, equivalent to the qualifications required for Graduate teacher status in NSW.An applicant who submits evidence of other equivalent academic and professional qualifications may be permitted to enrol in the degree.Credit TransferIf you are seeking credit transfer you must submit documentary evidence of courses completed at the time of initial enrolment. The Faculty will then determine the number of units of credit to be granted. The maximum credit transfer is 12 UOC (50%). Credit transfer will not be granted for courses completed more than ten years previously.ArticulationThe Graduate Certificate in Education forms part of a sequence of articulated programs comprising the Graduate Certificate and Masters degree of Education. A postgraduate student enrolled in an articulated program may progress from the Graduate Certificate to the Masters level with full credit for courses completed in the Graduate Certificate in Education."
"8960","mailto:education@unsw.edu.au","1 Years  ","48",,"In the Master of Educational Leadership (program 8960, plan code EDSTOS8960) students undertake eight courses (48 UOC). Students complete a minimum of four courses to be chosen from Educational Leadership, including two core and two elective courses, plus one research methodology course or literature review, plus a project. The remaining two courses are selected from any electives at the Master’s level, including those in educational leadership:Core CoursesEDST5433 Organisation Theory in Educ. (6 UOC)EDST5438 Leadership Theory (6 UOC)Elective coursesEDST5110 Leadership for Gifted Students (6 UOC)EDST5114 Curriculum and Assessment (6 UOC)EDST5127 Coaching and Mentoring (6 UOC)EDST5130 Leadership in Action (6 UOC)EDST5141 Crit Engage Indigenous Edu (6 UOC)EDST5142 Leading Educational Change (6 UOC)EDST5145 Mentoring Practicum (6 UOC)EDST5146 Teacher Eval and Improvement (6 UOC)EDST5308 Teacher Learning (6 UOC)EDST5314 Building Resilience (6 UOC)EDST5436 Evaluation of Educ Prog (6 UOC)EDST5445 Workplace Lead Dev Project (6 UOC)EDST5450 Leading Individuals & Teams (6 UOC)EDST5451 Ed Policy: Theory & Practice (6 UOC)EDST5455 HRM in Education (6 UOC)EDST5462 Teacher Leadership (6 UOC)EDST5608 Effective Schools (6 UOC)ANDOne research methodology course from the following list:EDST5032 Ethnographic Methodology (6 UOC)EDST5101 Experimental Research Design (6 UOC)EDST5103 Survey Research (6 UOC)EDST5120 Qualitative Research (6 UOC)EDST5448 Classroom-based Research (6 UOC)EDST5463 Engaging Ed Research Lit (6 UOC)OREDST5457 Literature Review in Education (6 UOC)ANDEDST5888 Project (6 UOC)ANDTwo other elective courses offered by the School of Education at Master’s level.These may be any two courses offered in the School of Education, including the educational leadership and research methodology courses noted above (i.e., students may take up to six educational leadership courses or more than one research methodology course).ARTS5503 Academic Writing for the Humanities (6 UOC)ARTS5505 Personalised English Language Enhancement (6 UOC)These courses, ARTS5503 and ARTS5505, can be taken as additional courses but will not count towards your program.Entry RequirementsA recognised Bachelor degree and a postgraduate teaching qualification (e.g. Graduate Diploma of Education or Master of Teaching)ORA four year pre-service teacher education qualification, including professional experience, equivalent to the qualifications required for Graduate teacher status in NSW.Credit TransferIf you are seeking credit transfer you must submit documentary evidence of courses completed at the time of initial enrolment. Faculty will then determine the number of units of credit to be granted. Credit transfer will not be granted for courses completed more than ten years previously. The maximum credit transfer for a Masters is 24 UOC (equivalent to four courses), and a Graduate Certificate is 12 UOC (equivalent to two courses).Award with ExcellenceYou are eligible for the award of a degree ""with Excellence"" if you achieve a Weighted Average Mark (WAM) of at least 80 in all courses and complete at least 50% of the requirements of your award at UNSW."
"7960","mailto:education@unsw.edu.au","0.5 Years  ","24",,"In the Graduate Certificate in Educational Leadership students undertake four courses (24 UOC).Students who have successfully completed the requirements for the Graduate Certificate in Educational Leadership may choose to apply for entry to the Master of Educational Leadership program. The program of study will normally be completed over two semesters.Students are required to complete one core course (6 UOC) and three electives from the Educational Leadership elective courses (18 UOC).Core courseEDST5438 Leadership Theory (6 UOC)Educational Leadership Elective CoursesSelect three courses (18 UOC) from the following:EDST5110 Leadership for Gifted Students (6 UOC)EDST5114 Curriculum and Assessment (6 UOC)EDST5127 Coaching and Mentoring (6 UOC)EDST5130 Leadership in Action (6 UOC)EDST5141 Crit Engage Indigenous Edu (6 UOC)EDST5142 Leading Educational Change (6 UOC)EDST5308 Teacher Learning (6 UOC)EDST5314 Building Resilience (6 UOC)EDST5433 Organisation Theory in Educ. (6 UOC)EDST5436 Evaluation of Educ Prog (6 UOC)EDST5445 Workplace Lead Dev Project (6 UOC)EDST5450 Leading Individuals & Teams (6 UOC)EDST5451 Ed Policy: Theory & Practice (6 UOC)EDST5455 HRM in Education (6 UOC)EDST5457 Literature Review in Education (6 UOC)EDST5462 Teacher Leadership (6 UOC)EDST5608 Effective Schools (6 UOC)ARTS5503 Academic Writing for the Humanities (6 UOC)ARTS5505 Personalised English Language Enhancement (6 UOC)These courses, ARTS5503 and ARTS5505, can be taken as additional courses but will not count towards your program.Entry requirementsA recognised Bachelor degree and a postgraduate teaching qualification (e.g. Graduate Diploma of Education or Master of Teaching)ORA four year pre-service teacher education qualification, including professional experience, equivalent to the qualifications required for Graduate teacher status in NSW.Credit TransferIf you are seeking credit transfer you must submit documentary evidence of courses completed at the time of initial enrolment. The Faculty will then determine the number of units of credit to be granted. The maximum credit transfer is 12 UOC (50%). Credit transfer will not be granted for courses completed more than ten years previously.ArticulationThe Graduate Certificate in Educational Leadership forms part of a sequence of articulated programs comprising the Graduate Certificate and Masters degree of Educational Leadership. A postgraduate student enrolled in an articulated program may progress from the Graduate Certificate to the Masters level with full credit for courses completed in the Graduate Certificate in Educational Leadership."
"8621","http://www.eet.unsw.edu.au/","2 Years  ","96","The Faculty of Engineering offers a two year Masters Degree program. The program comprises streams leading to a Master of Engineering. Flexibility and choice are maintained throughout the two year program by providing many elective courses. It serves as an entry point for students to move into the engineering profession.This degree is offered in the following specialisations (streams):Civil EngineeringCVENYS8621Electrical Engineering ELECAS8621Environmental Engineering CVENLT8621Mechanical Engineering MECHBS8621Telecommunications  TELEAS8621","To qualify for the Masters Degree, students should successfully complete:96 UOC of courses from one of the streams offered, and60 days of industrial experience.For more information on the Electrical and Telecommunications streams please contact the School Office."
"5449","http://www.gsbme.unsw.edu.au/","1 Years  ","48","Biomedical Engineering is the application of engineering principles to developing technologies and solving problems in a diverse range of health care related fields e.g. implantable bionics, drug delivery systems, medical imaging, radiotherapies, orthopedic devices, telemedicine, robotic surgery, cell and tissue engineering, records management, physical rehabilitation and others.This Graduate Diploma program provides graduates with opportunities to extend their professional knowledge. Candidates may undertake interdisciplinary studies and, subject to approval, are able to take courses from any school in the Engineering Faculty, other Faculties of the University and other universities or institutions. Consequently, study programs may be constructed to best suit to the individual needs of particular candidates.","The minimum period is 2 academic semesters (full-time) or 4 academic semesters (part-time) from the date of enrolment. The maximum period of candidature is 4 academic semesters (full-time) and 8 academic semesters (part-time). In special cases an extension of time may be granted.Students must complete 48 units of credit comprising at least 42 UOC of postgraduate courses and at most one 6 UOC undergraduate course. Of these, at least 36 UOC must be from the postgraduate courses that constitute the BIOMAS8660 stream in the Masters of Biomedical Engineering program. The remaining 12 UOC can be drawn from the postgraduate Biomedical Engineering courses, other postgraduate courses, subject to approval by the head of school, or one of ANAT2511 Fundamentals of anatomy or PHSL2121 Principles of Physiology A. (Note that the BIOM9914 Masters Project is not available in this program.)Candidates who meet certain academic progress requirements (normally a credit average performance or better in their first semester) may be considered for transfer to the 8660 Masters program with advanced standing. Further enquiries should be made with the School."
"8569","http://www.unsw.adfa.edu.au/about-us/our-campus/contacts","1 Years  ","48","The Master of Engineering Science enables students with appropriate undergraduate qualifications to undertake more advanced study in engineering.","Students undertaking the Master of Engineering Science program are required to take 8 coursework courses (48 UOC) from the courses below. The course options provide the flexibility to tailor the degree to meet individual needs and requirements.ZEIT8008 Space Systems Design (6 UOC)ZEIT8009 Global Navigation Systems (6 UOC)ZEIT8020 Computer Network Operations (6 UOC)ZEIT8021 INFAss (6 UOC)ZEIT8023 Wireless Security (6 UOC)ZEIT8031 Reliability Eng Fundamentals (6 UOC)ZEIT8115 Information Operations (6 UOC)ZEIT8119 Internetworking (6 UOC)ZEIT8152 Reliability Program Management (6 UOC)ZEIT8219 Satellite Communications (6 UOC)ZEIT8221 Spaceborne Imaging Technology (6 UOC)ZEIT8229 Non-Comm. Warfare (6 UOC)ZEIT8233 Explosive Ordnance Technology (6 UOC)ZEIT8236 System Safety Engineering (6 UOC)ZEIT8298 Project Report - Eng Sc PT (6 UOC)ZEIT8299 Project Report - Eng Sc FT (12 UOC)ZEIT8412 Simulation (6 UOC)ZEIT8413 Simulation Applications (6 UOC)ZEIT8506 Weapons Engineering (6 UOC)Research ProjectThe option of undertaking a research project worth 12 UOC is available to Masters students who obtain a high credit average or better in four courses and is subject to approval by the Program Coordinator. The research project can be completed within one semester through enrolment in ZEIT8299 Project Report – Engineering Science (F/T) or spread across two semesters through enrolment in ZEIT8298 Project Report -Engineering Science (P/T). Completion of either course results in the achievement of 12 UOC. The project is recommended for those with a strong interest in pursuing original research in a particular area or intending to undertake a higher research degree qualification.Academic Rules1.	Entry Requirements1.1	To gain entry into the Master of Engineering Science by coursework program an applicant must have:1.1.1	Met the requirements of a four year Bachelor degree in engineering or Bachelor's degree with Honours with a major in a cognate discipline from a recognised tertiary institution;or1.1.2	Have met the requirements of a Graduate Diploma from UNSW in a cognate discipline;or1.1.3	Have met the requirements of a three or four year Bachelor degree in a cognate discipline, which includes a major in the cognate discipline; and have completed at least 3-years relevant full-time professional experience*.Cognate Discipline: Engineering* Professional Experience: The evidence required for validation of professional experience will include a statement of service from the employer verifying the position, role and responsibilities, and duration of employment.2.	Enrolment and Progression2.1	An application to enrol as a student for the degree shall be made via Apply Online and enrolment via myUNSW or a later enrolment via the prescribed form and lodged with Student Administrative Services by the advertised date. 2.2	A student for the degree must undertake courses and pass assessment as prescribed by UNSW. 2.3	The program of study shall total a minimum of 48 units of credit.2.4	The Academic Standing of a student shall be reviewed at the end of each semester. Movement between levels of academic standing is based on progress, measured by cumulative number of failures. 3.	FeesA student shall pay fees as determined by the UNSW Council.FeesFor information regarding fees for UNSW programs, please refer to the following website:  UNSW Fee Website.Faculty regulations for postgraduate study via courseworkThese regulations apply to all postgraduate degrees and are to be used in conjunction with "
"7320","http://www.engineering.unsw.edu.au/","0.5 Years  ","24","The Graduate Certificate of Engineering Science program is designed for engineers and graduates wishing to develop and expand their knowledge and skills in their current area of expertise.* This will enable students to meet or maintain professional accreditation standards and to provide opportunities for continuing professional development, as well as the opportunity to interact with those at the cutting edge of their discipline.Students will add breadth to their knowledge of engineering in general and expand their knowledge and skills in engineering management. Students will develop their technical knowledge and ability to analyse engineering problems. They will also gain further skills in solving engineering problems and justifying professional decisions.The program articulates to the Graduate Diploma of Engineering Science program with full credit for courses completed in the Graduate Certificate program. Students may exit from this proposed program with a Graduate Certificate award if they have completed the required course requirements. A credit average (65%) is generally required to articulate to the next level in the sequence.(* It is also possible for students to acquire knowledge and skills in a different specialisation at the approval of the Stream Authority. This may require the student to take additional foundation and disciplinary knowledge courses at the discretion of the Stream Authority). Entry RequirementsIn order to be admitted to the program students need a recognised four year Bachelor degree in a relevant discipline of engineering with a minimum 65% average.NOTE: The minimum average required for entry is as determined by the UNSW Postgraduate Entry Score Calculator. Students from a non-211 university in China need a minimum 70% average.Those without a recognised four year Bachelor degree in a relevant discipline of engineering with a minimum 65% average are required to argue their prior learning is equivalent to this qualification. For example, a 3- or 4-year Bachelor of Engineering or Science combined with relevant discipline experience (exact positions and roles that will be considered relevant to be decided by each specialisation) may be recognised.","Students must complete 24UOC of courses to be eligible for the degree. This degree is offered in the following specialisations (streams):Civil Engineering StreamNuclear Engineering StreamSpecialisations may be broad or narrow, and include options that cross the traditional disciplinary boundaries in the Faculty. Some specialisations may include approved courses outside the Faculty of Engineering. A number of specialisation courses may be offered in both internal and external attendance modes and may be delivered in regular sessions, block or intensive modes on or off campus. At the discretion of the Program or Stream Authority, students may be required to develop their foundational disciplinary knowledge through enrolment in undergraduate level courses that are deemed appropriate by the Program or Stream Authority. Students will be granted credit towards the program for the satisfactory completion of these courses up to a maximum of 12UOC."
"5341",,"1 Years  ","48","The Graduate Diploma of Engineering Science program is designed for engineers and graduates wishing to develop and expand their knowledge and skills in their current area of expertise.* This will enable students to meet or maintain professional accreditation standards and to provide opportunities for continuing professional development, as well as the opportunity to interact with those at the cutting edge of their discipline.Students will add breadth to their knowledge of engineering in general and expand their knowledge and skills in engineering management. Students will develop their technical knowledge and ability to analyse engineering problems. They will also gain further skills in solving engineering problems and justifying professional decisions.(* It is also possible for students to acquire knowledge and skills in a different specialisation at the approval of the Stream Authority. This may require the student to take additional foundation and disciplinary knowledge courses at the discretion of the Stream Authority.)Entry requirements In order to be admitted to the program students need a recognised four year Bachelor degree in a relevant discipline of engineering with a minimum 65% average.NOTE: The minimum average required for entry is as determined by the UNSW Postgraduate Entry Score Calculator. Students from a non-211 university in China need a minimum 70% average.Those without such a qualification are required to argue their prior learning is equivalent to this qualification. For example, a 3- or 4-year Bachelor of Engineering or Science combined with relevant discipline experience (exact positions and roles that will be considered relevant to be decided by each specialisation) may be recognised.","Students must complete 48UOC of courses to be eligible for the degree. This degree is offered in the following specialisations (streams):Chemical Process EngineeringCivil EngineeringElectrical EngineeringEnergySystemsEnvironmental EngineeringFood Process EngineeringGeotechnical Engineering & Engineering GeologyManufacturing Engineering & ManagementMechanical EngineeringNuclear EngineeringPetroleum EngineeringPetroleum Engineering Open LearningPhotovoltaics & Solar EnergyProject ManagementRenewable Energy EngineeringStructural EngineeringTelecommunicationsTransport EngineeringWater Engineering: Catchments to CoastsWater, Wastewater & Waste EngineeringSpecialisations may be broad or narrow, and include options that cross the traditional disciplinary boundaries in the Faculty. Some specialisations include approved courses outside the Faculty of Engineering. A number of specialisation courses may be offered in both internal and external attendance modes and may be delivered in regular sessions, block or intensive modes on or off campus.At the discretion of the Program or Stream Authority, students may be required to develop their foundational disciplinary knowledge through enrolment in undergraduate level courses that are deemed appropriate by the Authority. Students will be granted credit towards the program for the satisfactory completion of these courses up to a maximum of 12UOC.Advanced StandingA student may apply for credit towards the program. For example, a student with a 4-year engineering honours degree could obtain a maximum of 24UOC of advanced standing. Applications for credit should be addressed to the Stream Authority (see relevant school site for further details)."
"8338",,"2 Years  ","96","The Master of Engineering Science program is designed for engineers and graduates wishing to develop and expand their knowledge and skills in their current area of expertise.* This will enable students to meet or maintain professional accreditation standards and to provide opportunities for continuing professional development, as well as the opportunity to interact with those at the cutting edge of their discipline. Students will develop their technical knowledge and ability to analyse engineering problems. They will also gain further skills in solving engineering problems and justifying professional decisions.Students will have the chance to work on a complex, open-ended enquiry-based project. This will develop their systematic approach to a problem and require project planning and the ability to analyse, interpret and communicate results proficiently. The completion of the research provides a pathway towards postgraduate research degrees through the development and demonstration of enquiry-based skills.(* It is also possible for students to acquire some knowledge and skills in a different specialisation with the approval of the Stream Authority. This may require the student to take additional foundation and disciplinary knowledge courses at the discretion of the Stream Authority.)Entry RequirementsStudents need a recognised four year Bachelor degree in an appropriate area of engineering with a minimum 65% average as determined by the Postgraduate Entry Score Calculator** ** NOTE: The cut-off for students from Chinese non-211 institutions is 70% (as determined by the  Postgraduate Coursework Entry Score Calculator).  For entry details (particularly for South Asian students) click here.","Students must complete 96UOC of courses to be eligible for the degree, and must complete:At least 18UOC of enquiry-based coursesAt least a further 30UOC of advanced disciplinary coursesAt least 6UOC of Engineering and Technical Management Courses.This degree is offered in specialisations (streams) including:Biomedical EngineeringChemical Process EngineeringCivil EngineeringElectrical EngineeringEnergy SystemsEnvironmental EngineeringFood Process EngineeringGeotechnical Engineering & Engineering GeologyGeothermal EngineeringManufacturing Engineering & ManagementMechanical EngineeringNuclear EngineeringPetroleum EngineeringPetroleum Engineering Open LearningPhotovoltaics & Solar EnergyProject ManagementRenewable Energy EngineeringSatellite Systems EngineeringStructural EngineeringSustainable SystemsSystems & ControlTelecommunicationsTransport EngineeringWater Engineering: catchments to coastsWater, Wastewater & Waste EngineeringA specialisation consists of 72UOC specialisation courses and 24UOC elective courses. Specialisation courses must include between 18-30UOC of disciplinary knowledge courses, 18-30UOC of advanced disciplinary courses and 18-30UOC enquiry-based courses including a 12-24UOC project. Elective courses must include Engineering and Technical Management Courses.Specialisations may be broad or narrow, and include options that cross the traditional disciplinary boundaries in the Faculty. Some specialisations include approved courses outside the Faculty of Engineering. A number of specialisation courses may be offered in both internal and external attendance modes and may be delivered in regular sessions, block or intensive modes on or off campus. At the discretion of the Program or Stream Authority, students may be required to develop their foundational disciplinary knowledge through enrolment in undergraduate level courses that are deemed appropriate by the Authority. Students will be granted credit towards the program for the satisfactory completion of these courses up to a maximum of 12UOC.Research projectStudents complete between 18UOC and 30UOC of enquiry-based projects and research-directed courses. A project involves an independent investigation at an advanced level by the student and may include research, design, feasibility or other analysis requiring integration of knowledge and evaluation across a range of topics in the area of specialisation.Enquiry-based projects must be complex, open-ended problems that allow room for student creativity, and the acquisition, analysis and interpretation of results. There must be multiple possible solutions or conclusions at the outset and sufficient complexity to require a degree of project planning from the student.Work-based projects are encouraged for practising engineers provided they meet the requirements of advanced independent study. Such projects must be approved by the specialisation authority prior to commencement of the project.Advanced StandingA student may apply for credit towards the program as per the UNSW Recognition of Prior Learning Policy and Procedures. For example, a student with a 4-year engineering honours degree could obtain a maximum of 48UOC of advanced standing.If the maximum credit is given, a student must still complete the following:At least 36UOC of courses from their specialisationAt least 6UOC of research-related coursesAt least 6UOC of electives from the approved elective courses listAt least 30UOC of advanced disciplinary courses(Courses may count in more than one of the above categories.)Applications for credit should be addressed to the relevant Stream Authority (contact relevant school for further details). Enquiry-based LearningThe specialisation courses must include between 18UOC and 30UOC of enquiry-based learning. Of this between 12UOC and 24UOC must be a enquiry-based project.A enquiry-based project involves an independent investigation at an advanced level by the student and may include research, design, feasibility or other analysis requiring integration of knowledge and evaluation across a range of topics in the area of specialisation. Such projects must be complex, open-ended problems that allow room for student creativity, and the acquisition, analysis and interpretation of results. There must be multiple possible solutions or conclusions at the outset and sufficient complexity to require a degree of project planning from the student. Work-based projects are encouraged for practising engineers provided they meet the requirements of advanced independent study. Such projects must be approved by the specialisation authority prior to commencement of the project."
"9212","http://www.law.unsw.edu.au/","1.5 Years  ","72","The Master of Environmental Law and Policy (MELP) provides an inter-disciplinary study program that meets the knowledge requirements of students interested in careers in environmental law, and environmental policy and management. This novel interdisciplinary environmental program is the only one in Australia to fully integrate the otherwise separate disciplines of law, policy and management.  Students will acquire an advanced level of knowledge and analytical skills in relation to the issues, challenges and conduct of environmental law, environmental policy and environmental management, and the areas of interaction between the disciplines. The program provides opportunities for in-depth study and research in respect of the interrelationship between the environmental legal system, the frameworks and tools of sustainable environmental management, and the complex policy issues presented by the environmental challenges of the 21st century. Not all courses are necessarily available in any one year. The MELP will not itself lead to a professional qualification for legal practice but will enable a student to acquire expertise in environmental law, sustainable environmental management, and environmental policy.","The MELP may be taken full time in three semesters or part time in a minimum of four semesters. A total of 72 units of credit (12 courses) are required for the award of the degree of MELP.The Master of Environmental Law and Policy (MELP) is a joint program of UNSW Law and Interdisciplinary Environmental Studies at UNSW of the School of Biological, Earth and Environmental Sciences. Postgraduate Law and IES@UNSW courses are taught in a variety of formats during the University's formal academic semesters, including summer. While some are taught for two hours per week over a teaching semester, other classes are arranged more intensively to permit students to focus fully on a research essay."
"7339","mailto:hal@unsw.edu.au","0.5 Years  ","24","This program provides an introduction to the frameworks, tools, and basic disciplinary knowledge relevant to environmental management.","Note: because the core course (IEST5001) is currently only offered in Semester 1, if you commence in Semester 2  you will need to complete the program over two semesters (i.e. part-time).This program is 24 UOC which is comprised of a core course, two fundamental knowledge courses, and an elective.Core CourseIEST5001 Frameworks for Env. Mgt. (6 UOC)Disciplinary Knowledge CoursesYou must take two Disciplinary Knowledge courses. Your selection will be from those in the following list for which you  cannot demonstrate sufficient background:IEST5008 Protected Area Management (6 UOC)IEST6001 Field Ecology (6 UOC)IEST7100 Environ Management: Economics (6 UOC)IEST7200 Environmental Law Fundamentals (6 UOC)IEST7300 Environ Mgmt: Physical Science (6 UOC)IEST7400 Environmental Social Science (6 UOC)IEST7500 Env. Eng Fundamentals (6 UOC)ElectiveChoose one course from:IEST5002 Tools for Env. Management (6 UOC)A Disciplinary Knowledge course listed above not already completedA specialist elective as advertised and pre-approved for the Master of Environmental Management program.ARTS5503 Academic Writing for the Humanities (6 UOC)ARTS5505 Personalised English Language Enhancement (6 UOC)These courses, ARTS5503 and ARTS5505, can be taken as additional courses but will not count towards your program.Admission RequirementsThe program entry requirement of the 7339 Graduate Certificate in Environmental Management is:Bachelor degree (or equivalent qualification) in any discipline.Credit TransferIf you are seeking credit transfer you must submit documentary evidence of courses completed at the time of initial enrolment. The Faculty will then determine the number of units of credit to be granted. The maximum credit transfer for a Graduate Certificate is  up to 12 UOC (equivalent to two courses). Credit transfer will not be granted for courses completed more than ten years previously.Articulation RulesIf you successfully complete the requirements for this program with a credit average you may articulate into the Graduate Diploma in Environmental Management with credit for all courses completed. If you have a WAM between 60 and 64 you may be considered for articulation into the Graduate Diploma of Environmental Management with credit at the discretion of the program authority.If you successfully complete the requirements for this program with a WAM of 70 you may articulate into the Master of Environmental Management with credit for all courses completed."
