url_content,url_img,url_info,url_li,url_right,web_info,web_url
"Book a Consultation with a student advisor for personalised advice and information.,Email: AustraliaAwards@unsw.edu.au,Email: Jan.Thomas@unsw.edu.au,See Emergency contacts, ,, ",,"General enquiries,International Student Advisors (ISA),Australia Awards,Manager, Student Development International,After hours emergencies","Student Development International,,Ground Floor, John Goodsell Building (F20), Kensington Campus, UNSW Australia, (Grid F20, PDF, 1MB), 9am - 4pm Monday to Friday, + 61 2 9385 4734, + 61 2 9385 6369, ",/international,Contact our office,https://student.unsw.edu.au/node/622
English Language and Conversation Skills,"If you are looking for opportunities to improve your English language skills and meet new people there are many language and conversation programs, courses and groups that can help you to do just that.,It’s best to embed strategies for improving your English into your everyday activities. Choose at least three suggestions from this checklist to see if you can implement them on a daily basis. Try them for a few weeks and see if you notice a difference.,This is a series of workshops that will help you become an effective and confident communicator in a range of Australian settings. You will learn how to seek help effectively, how to initiate social contact whether for academic or social reasons and how to successfully participate in a group or team setting. Learning culturally appropriate ways of participating is an essential skill for academic and social success.,The UNSW Institute of Languages offers a comprehensive suite of courses, testing services and corporate and teacher training programs designed for students, teachers, government and corporate clients from around the world. It is the oldest and one of the largest and most prestigious language centres in Australia. English language programs are available at various levels and lengths and may be packaged with the UNSW Foundation Studies or a UNSW degree.,Support at the UNSW Learning Centre.,An online service operated by the Digital Education Network which provides a range of Internet-based services, links and resources for education.,This site provides a useful starting point with links to resources to practise and improve your English.,A great site from the BBC World Service which includes sections on News and Business English, opportunities to develop listening skills and quizzes on grammar and vocabulary. The site includes fun features like an interactive online soap opera.,Lessons, games, quizzes & more for ESL learners.,A fun study site for students of English as a Second Language, featuring word games, puzzles, quizzes, exercises, slang, and proverbs.,Some fun exercises for students who need to practise their language.,From Hong Kong Polytechnic University,Purdue's Online Writing Lab offers handouts and exercises on grammar, spelling, and punctuation for both ESL students and students whose first language is English.",,,"
,
,
,
,
,
,
,
, Meet up with others to exchange language skills and cultural insights in a fun and relaxed environment. You will be matched with people who speak the language you wish to practice who in return would like to learn or practice your language., All students, Yes, Improve your English skills, learn more about Australian culture and make new friends at these informal language and culture classes led by student volunteers. There are a variety of topics discussed, including news, popular culture and Australian slang., International students, Discussion Groups are held in The Hub Monday-Friday, Weeks 1-12. No booking required., Practice your 'everyday' English speaking and social language and build social networks outside your academic studies in these small, informal classes. Group size is limited to 5 students and groups run for 4 consecutive weeks., All students, Yes, Free, Develop your general fluency and improve your classroom participation in an informal and supportive environment. Classes include role plays, debates and topic discussions., International students, Yes, Free",,English conversation skills,https://student.unsw.edu.au/node/713
International Student Careers,"Careers and Employment is committed to helping you enhance your global employability, and empowering you to succeed beyond the classroom and find employment, throughout and after university.,The resources below are particularly useful for international students and should be used in combination with career development seminars, career advice appointments, and all the other Career and Employment resources available publicly and by logging in to UNSW Careers Online.,If you are considering looking for work in your home country, start planning early and make an appointment with a careers consultant to discuss specific strategies and resources.  The following job websites can also be helpful for returning students:",,,"
,
,
,
,
,
,
,
,…, , and , , , (Sign in via UNSW Careers Online to access full information). ",,careers and employment,https://student.unsw.edu.au/node/18329
Visa Information and Living in Australia,"While studying in Australia you need to keep your contact details up to date with the University, maintain overseas student healthcare cover, and adhere to certain work conditions.",,,"
,
,
,
,
,
,
,
",,Living in Australia,https://student.unsw.edu.au/node/1522
Modes of Study,"Modes of study include full-time and part-time study, distance learning, online learning and Summer Term.",,,"
,
,
,
,
,
,
,
",,full time study requirement,https://student.unsw.edu.au/node/1517
Visa Information During Your Studies,"There are a number of conditions on your international student visa tied to your academic choices and progression.,The differences between full-time and part-time study, distance learning/online learning and Summer Term.,There are implications of not maintaining a full-time study load.,How changes to your enrolment such as program leave, or early/late completion, impact your student visa.,What happens if you are given course credit or advance standing for previous study.,Completing your program (degree) within the time specified on your visa and confirmation of enrolment.,If you need to apply for a new Confirmation of Enrolment, here you will find links that will assist you to understand what is required,What happens if you transfer to another program within UNSW., ",,,"
,
,
,
,
,
,
,
",,Information during study,https://student.unsw.edu.au/node/1516
New Confirmation of Enrolment Request,"If you are not going to complete your program by the date on your Confirmation of Enrolment (CoE), you will require a new CoE and a new student visa.",,To apply for a new Confirmation of Enrolment (CoE):,"
,
,
,
,
,
,
,
",,applying for confirmation of enrolment,https://student.unsw.edu.au/node/9006
Contacts for International Students,"Book a Consultation with a student advisor for personalised advice and information.,Email: AustraliaAwards@unsw.edu.au,Email: Jan.Thomas@unsw.edu.au,See Emergency contacts, ,, ",,"General enquiries,International Student Advisors (ISA),Australia Awards,Manager, Student Development International,After hours emergencies","
,
,
,
,
,
,
,
,Student Development International,,Ground Floor, John Goodsell Building (F20), Kensington Campus, UNSW Australia, (Grid F20, PDF, 1MB), 9am - 4pm Monday to Friday, + 61 2 9385 4734, + 61 2 9385 6369, ",,Contact our office,https://student.unsw.edu.au/node/622
Under 18 Years of Age International Students,",International students under the age of 18 on arrival in Australia must have approved accommodation and welfare arrangements in place before a student visa can be issued. These arrangements are regulated by the Australian government to ensure student safety and wellbeing.,Download the Information Booklet for Parents and Carers of Students (PDF, 7.5mb, 39 pages) ,Option 1 - Live in Australia with a parent /legal guardian or relative approved by Department of Home Affairs (former Department of Immigration and Border Protection),For more information about this option please refer to the Department of Home Affairs,If you are living in Australia with a parent/legal guardian or relative approved by Department of Home Affairs please complete the Under 18 International Students Living with an Approved Parent/Legal Guardian or Relative Notification Form before you accept your offer. You are also eligible to enrol in the UNSW Under 18  Care Program.,OR,Option 2 - Live in Australia unaccompanied by a parent, legal guardian, or a relative approved by Department of Home Affairs and have a Care Arrangement approved by UNSW (fees apply). The Care Arrangement includes the Confirmation of Approved Accommodation and Welfare (CAAW) letter and the UNSW Under 18 Care Program.,This option requires UNSW to approve the student’s accommodation and welfare arrangements.,A Care Arrangement with UNSW requires students to:,1. Live in UNSW approved accommodation at either Unilodge@UNSW, Unilodge@Broadway or Urbanest Darling Square. ,2. Participate in the UNSW Under 18 Care Program until you turn 18 years of age.,Students who are accepted for an Under 18 Care Arrangement will receive a Confirmation of Approved Accommodation and Welfare (CAAW) letter after they have accepted their offer to UNSW. The CAAW is then presented to the Department of Home Affairs when applying for a student visa.,If you turn 18 before or  on your arrival date in Australia you can still lodge your visa application before your 18th birthday, however;,1. You and your parents or legal guardian must complete the following forms and send as directed;,2. Pay FEES The Under18 Care Arrangement includes:,Payment can be made online via the form UNSW Under 18 Care Arrangement Application using MasterCard, Visa or American Express. Once payment is complete a receipt will be forwarded to your nominated email address. You do not need to inform us that payment has been made.,If a student enrols in the Under 18 Care Arrangement and subsequently wishes to withdraw, they must notify Student Development International (SDI) by email under18@unsw.edu.au. A full refund minus the CAAW registration fee (AUD$150) will be made if written notification of withdrawal is received by SDI before the start of the care arrangements. After this date, unused portions of the Care Program fee will be refunded. Please note that students are required to give ten working days' notice if they are discontinuing in the UNSW Under 18 Care Program.,If a student who has been issued with a Confirmation of Appropriate Accommodation and Welfare (CAAW) by the UNSW withdraws from the UNSW Under 18 Care Program, the University will cancel the CAAW and notify Department of Home Affairs that these care arrangements have ceased.,The UNSW Under 18 Care Program is also available to option 1 students (international students who will be under 18 years of age when they enter Australia and commence their course at the UNSW and have their own guardian) who would like to have extra support and guidance until they turn 18 years of age. Please complete the form UNSW Under 18 Care Program. ,The UNSW Under 18 Care Program fee is $8 a day from the beginning of the Care Program until you turn 18 years of age.,The UNSW Under 18 Care Program is available to students who;, The UNSW Under 18 Care Program includes:,For more detailed information about the UNSW Under 18 Care Program refer to the Care Program information booklet,Payment can be made online via the form UNSW Under 18 Care Program using MasterCard, Visa or American Express. Once payment is complete a receipt will be forwarded to your nominated email address. You do not need to inform us that payment has been made.,If a student enrols in the UNSW Under 18 Care Program and subsequently wishes to withdraw, they must notify Student Development International (SDI) by email under18@unsw.edu.au. A full refund will be made if written notification of withdrawal is received by SLL before the start of the UNSW Under 18 Care Program. After this date, unused portions of the UNSW Under 18 Care Program fee will be refunded. Please note that students are required to give ten working days' notice if they are discontinuing in the UNSW Under 18 Care Program.,If you are on a packaged offer from UNSW Global Foundation Studies you will have been issued a conditional Confirmation of Appropriate Accommodation and Welfare (CAAW). In order to meet the conditions of your CAAW, you will need to apply for the UNSW Under 18 Care Program prior to starting your course at the UNSW.,If you are changing your Program from the one on your original conditional offer, you will need to apply for both a new CAAW from UNSW and the UNSW Under 18 Care Program before accepting your new offer.,UNSW does not accept responsibility for an under 18 student's accommodation and welfare arrangements before the commencement date on the CAAW. The CAAW is issued to student 14 days before the commence of the semester.,,Student Development International (SDI) staff will then assess your application, if it meets the requirements your online application will be approved and you will be sent the CAAW and CoE. If it does not meet the requirements you will be notified., , , ,International Students Under the Age of 18 years - Welfare, Support and Accommodation Arrangements Procedures - To read UNSW's policy and procedures go to https://www.gs.unsw.edu.au/policy/documents/internationalstudentsunder18procedure.pdf,Accommodation and Welfare Requirements for Overseas Students factsheet, this factsheet outlines three options for acceptable arrangements for students aged under 18 years, as per mandatory student visa requirements.,For visa information please refer to the Australian Government Office.,For further information about a CAAW letter please email: under18@unsw.edu.au",,"Term 1, 2019 Applications open 1st September 2018 and close 4th February 2019. All Under 18 year students on a CAAW with UNSW must be in Sydney no later than 7th February 2019. ,Refunds,To apply for the UNSW Under 18 Care Program,How to make a payment for the Under 18 Care Program,Refunds,Transitioning from UNSW Global Foundation Studies on a Package Offer,Transitioning from another registered provider,When will I receive the Confirmation of Appropriate Accommodation and Welfare (CAAW) and Confirmation of Enrolment (COE) I want to apply for a student visa as soon as possible?,What do I need to do as an under 18 student with a Care Arrangement?,What do I need to do as an under 18 student enrolled in the Care Program?","
,
,
,
,
,
,
,
,Option 2 application form for ,and the online accommodation application form for,If Unilodge @UNSW, Unilodge @Broadway or Urbanest is considered unsuitable, parents/guardians should contact Student Development International via email ,A fee for the CAAW of $150,A fee for the Care program of $8 a day from the beginning of the CAAW period until you turn 18 years of age,Under 18 Orientation workshops and programs,Regular meetings with an International Student Advisor to  support your academic and social adjustment,An assigned cultural mentor to help you in your transition to study at UNSW",,Students under 18 visa requirements,https://student.unsw.edu.au/node/613
Australia Awards Recipients,"If you are a recipient of an Australia Award, you will find the link to more information about your Award below.,These include the Australia Awards Scholarships, Australia Awards Fellowships and the Australia Awards Pacific Scholarships.,These include the Australia Awards Endeavour Scholarships and Fellowships.,These include the John Allwright Fellowships.",,,"
,
,
,
,
,
,
,
",,Australia Awards Recipients on award and entitlements,https://student.unsw.edu.au/node/649
Reducing Your Study Load,"Here you can find information about reducing your study load as a UNSW International Student.,As an International Student visa holder you must complete your program within the duration specified in their Confirmation of Enrolment (CoE). Usually this requires you to enrol in a full time study load (24 units of credit) per semester, until the completion of your program. For further information about this refer to the National Code Part D: ESOS standard 9,Reducing your study load may impact on your ability to complete your program within the duration specified in your CoE. UNSW can only issue a new CoE in limited and exceptional circumstances.,You will need to seek permission from Student Development International (SDI) to reduce your study load in any semester other than your final semester. Please note in most cases you will need to provide supporting documents to verify your application.,A reduced study load can be approved in the following circumstances:",,,"
,
,
,
,
,
,
,
",,reducing study load,https://student.unsw.edu.au/node/1518
Release Request,"If you would like to transfer to another education provider within the first six months of study, you need a release from UNSW.,A release cannot be issued if:,A release is only granted under limited circumstances.,If you are applying on Compassionate and Compelling grounds for Release from UNSW please have the authorising professional complete the attached form. “Request for Release from UNSW Due to Illness or Misadventure – Professional Authority Form” link,International student visa holder who have current access to myUNSW can apply for release by accessing My Student Profile tab > My Student Services channel > Online Services > Statements.Follow the instructions and select 'Release Letter'.,Once you have submitted the request, Student Development International will contact you for an interview.,Applications may take up to ten (10) working days to process.,When your release has been approved, you will then be advised to discontinue your program via myUNSW. Please DO NOT discontinue prior to receiving approval.,If you don't have access to myUNSW complete the Release Request Form (PDF, 201 KB, 3 pages).,This form is only to be used by students who do not have access to myUNSW. Scan and email the form to international.student@unsw.edu.au or submit it in person at Student Development International, Kensington campus.",,,"
,
,
,
,
,
,
,
,You do not have an unconditional offer from another institution.,You have any outstanding debt to the University.,Your request to transfer to another education provider does not comply with ,.",,release letters,https://student.unsw.edu.au/node/9005
Overseas Student Health Cover,"You are required to have Overseas Student Health Cover (OSHC) for the entire duration of your stay in Australia. If you need a new visa, you must also extend your OSHC.,For more information about UNSW's preferred OSHC provider and how to extend your cover please go to: https://www.medibankoshc.com.au/unsw,UNSW's preferred OSHC provider is Medibank Private. Medibank Overseas Student Health Cover does not include Dental and Optical; however, you can purchase Medibank Overseas Student Health Cover plus Member's Choice optional extras and for an additional monthly fee you can be covered for the following:,For more information about OSHC Medibank extras:,OSHC does not cover dental, optical or physiotherapy. If you want to be covered for these treatments you will need to buy additional private health insurance (extra OSHC), such as:",,,"
,
,
,
,
,
,
,
,Dental,Dental Prosthetics,Optical,Physiotherapy,Chiropractic,Acupuncture,Remedial Massage Therapists,Read the ,Email ,See ,Extra OSHC provided by some OSHC providers;,International travel insurance; or,General treatment cover with any Australian private health insurer. You can find a list of these providers and search for the one that suits you best at ",,health cover,https://student.unsw.edu.au/node/631
Forms Relating to Your Visa,"Use this form to request a transfer to another Education Provider within 6 months of studying with UNSW.,Use the form to request a reduction in your study load in Semester 1 or Semester 2.,Use this form to request a new Confirmation of Enrolment that you can use to renew your student visa.,Order this letter online by logging into myUNSW then go to My Student Profile tab > My Student Services channel > Online Services > Statements.,Program Leave and discontinuation for coursework students can be completed online via log in to myUNSW.,Use this form for program leave or for visa amendment/extension. For further information contact the Graduate Research School., ",," (myUNSW), (myUNSW)","
,
,
,
,
,
,
,
",,Forms and documents,https://student.unsw.edu.au/node/1523
Student Visa Work Rights & Fair Work,Here you can find information for international students about student visa holder work rights and important information about fair work.,,,"
,
,
,
,
,
,
,
",,working,https://student.unsw.edu.au/node/18332
Applying for a New Visa and Academic Progression,Your Student visa is issued for the duration of your study program. Some students may need to apply for a new Confirmation of Enrolment (CoE) and a new visa if their time of completion changes.,,,"
,
,
,
,
,
,
,
,To apply for a new CoE you must submit a new ,.,To apply for a new student visa in Australia refer to the ",,Visa extensions,https://student.unsw.edu.au/node/709
Your Student Visa,"International students studying at UNSW require a Confirmation of Enrolment (CoE) from UNSW and a visa from the Department of Home Affairs for the length of their program. For most international students, this will be a student visa, a category of visa that has different subclasses depending on the program they are studying.,Learn about your rights and responsibilities under the Education Services for Overseas Students (ESOS) Act.,International students have specific conditions to adhere to while living in Australia such as keeping your contact details up to date, maintaining overseas student health cover, and capped working hours.,Relevant forms to help you reduce your study load, apply for a new confirmation of enrolment, request a release letter and notify program variations., , ",, ,"
,
,
,
,
,
,
,
,Learn about different , (full-time, part-time, summer, online) and how these relate to your student visa.,How and when you can ,.,The impact ,, , and , have on your student visa.,.,Applying for a new ,...,There are specific visa requirements regarding care arrangements that need to be considered for international students under the age of 18 wishing to study at UNSW.,About the Education Services for Overseas Students (ESOS).",,Student visa and conditions,https://student.unsw.edu.au/node/629
