Prerequisite,course_EFTSL,course_EFTSL_url,course_campus,course_career,course_code,course_credit,course_description,course_faculty,course_faculty_url,course_fee,course_fee_url,course_further_info,course_further_info_url,course_hours,course_outline,course_outline_url,course_school,course_school_url,course_title,course_url
Prerequisite: 30 units of credit at Level 1; or 24 units of credit and enrolment in a Theatre & Performance Studies extended minor in Arts/Education (4053),(more info),/general/2018/SSAPO/EFTSL.html,Sydney,Undergraduate,ARTS2128,6,,Faculty of Arts and Social Sciences,/faculties/2018/artsc/artsc.html,See Tuition Fee Schedule,https://student.unsw.edu.au/fees-to-pay,See Class Timetable,http://www.timetable.unsw.edu.au/2018/ARTS2128.html,3,School of the Arts and Media,https://sam.arts.unsw.edu.au/,School of the Arts and Media,http://sam.arts.unsw.edu.au/,"Art, Activism, Publics ",http://legacy.handbook.unsw.edu.au/undergraduate/courses/2018/ARTS2128.html
No Enrolment Requirements,(more info),/general/2018/SSAPO/EFTSL.html,Paddington,Undergraduate,ADAD2406,6,"‘Creative Experimentation’ is designed to help you experience the full potential of your own creativity by engaging in experimental art, design or digital media practices. You will also learn how to apply these principles of experimentation to your own area of study in this intensive course.,This course will extend your knowledge, research and technical skills through discourse and engagement in reflective practice and concept development. You will work with peers from a wide range of backgrounds such as design, science, medicine, creative artists, engineering, architecture, mathematics, etc., to develop practice-led research within the areas of emerging technologies. You will be guided in generating random data based upon a physical location, which you will visualise in different creative mediums. The result of this process will be a body of work through which you can demonstrate your experimental process, resulting in a range of innovative, unexpected creative outputs. By engaging with this process using a range of emergent technologies, you will broaden your existing knowledge and skills, and develop a framework for experimentation that is current, innovative, personally meaningful, and professionally relevant. ,This course is a part of the of ADADA2 Creativity and Innovation Stream, and is open to students from all faculties and disciplines. You are also able to enrol in this course separately as an elective or general education course.",Faculty of Art & Design,/faculties/2018/cofa/artdesign.html,See Tuition Fee Schedule,https://student.unsw.edu.au/fees-to-pay,See Class Timetable,http://www.timetable.unsw.edu.au/2018/ADAD2406.html,3,Download course outline (PDF format),http://www.handbook.cofa.unsw.edu.au/scripts/getoutline.php,School of Art & Design,http://www.artdesign.unsw.edu.au,Creative Experimentation ,http://legacy.handbook.unsw.edu.au/undergraduate/courses/2018/ADAD2406.html
Prerequisite: 30 units of credit at Level 1; or 24 units of credit and enrolment in a Theatre & Performance Studies extended minor in Arts/Education (4053),(more info),/general/2018/SSAPO/EFTSL.html,Sydney,Undergraduate,ARTS2127,6,,Faculty of Arts and Social Sciences,/faculties/2018/artsc/artsc.html,See Tuition Fee Schedule,https://student.unsw.edu.au/fees-to-pay,See Class Timetable,http://www.timetable.unsw.edu.au/2018/ARTS2127.html,3,School of the Arts and Media,https://sam.arts.unsw.edu.au/,School of the Arts and Media,http://sam.arts.unsw.edu.au/,Great Plays ,http://legacy.handbook.unsw.edu.au/undergraduate/courses/2018/ARTS2127.html
Prerequisite: 30 units of credit at Level 1; or 24 units of credit and enrolment in a Philosophy minor in Arts/Law (4782). Excluded: ARTS2366,(more info),/general/2018/SSAPO/EFTSL.html,Sydney,Undergraduate,ARTS2375,6,,Faculty of Arts and Social Sciences,/faculties/2018/artsc/artsc.html,See Tuition Fee Schedule,https://student.unsw.edu.au/fees-to-pay,See Class Timetable,http://www.timetable.unsw.edu.au/2018/ARTS2375.html,3,School of Humanities & Languages,http://hal.arts.unsw.edu.au/,School of Humanities and Languages,https://hal.arts.unsw.edu.au/,Philosophical Logic ,http://legacy.handbook.unsw.edu.au/undergraduate/courses/2018/ARTS2375.html
Prerequisite: 30 units of credit at Level 1; or 24 units of credit and enrolment in a Philosophy minor in Arts/Law (4782). Excluded: ARTS2366,(more info),/general/2018/SSAPO/EFTSL.html,Sydney,Undergraduate,ARTS2374,6,,Faculty of Arts and Social Sciences,/faculties/2018/artsc/artsc.html,See Tuition Fee Schedule,https://student.unsw.edu.au/fees-to-pay,See Class Timetable,http://www.timetable.unsw.edu.au/2018/ARTS2374.html,0,School of Humanities & Languages,http://hal.arts.unsw.edu.au/,School of Humanities and Languages,https://hal.arts.unsw.edu.au/,Ways of Reasoning ,http://legacy.handbook.unsw.edu.au/undergraduate/courses/2018/ARTS2374.html
Prerequisite: 30 units of credit at Level 1; or 24 units of credit and enrolment in a German Studies or History extended minor in Arts/Education (4053),(more info),/general/2018/SSAPO/EFTSL.html,Sydney,Undergraduate,ARTS2285,6,,Faculty of Arts and Social Sciences,/faculties/2018/artsc/artsc.html,See Tuition Fee Schedule,https://student.unsw.edu.au/fees-to-pay,See Class Timetable,http://www.timetable.unsw.edu.au/2018/ARTS2285.html,0,School of Humanities & Languages,http://hal.arts.unsw.edu.au/,School of Humanities and Languages,https://hal.arts.unsw.edu.au/,"The Holocaust: Origins, Implementation, Aftermath ",http://legacy.handbook.unsw.edu.au/undergraduate/courses/2018/ARTS2285.html
Prerequisite: 30 units of credit at Level 1; or 24 units of credit and enrolment in a Philosophy minor in Arts/Law (4782),(more info),/general/2018/SSAPO/EFTSL.html,Sydney,Undergraduate,ARTS2367,6,,Faculty of Arts and Social Sciences,/faculties/2018/artsc/artsc.html,See Tuition Fee Schedule,https://student.unsw.edu.au/fees-to-pay,See Class Timetable,http://www.timetable.unsw.edu.au/2018/ARTS2367.html,3,School of Humanities & Languages,http://hal.arts.unsw.edu.au/,School of Humanities and Languages,https://hal.arts.unsw.edu.au/,Philosophy of Art ,http://legacy.handbook.unsw.edu.au/undergraduate/courses/2018/ARTS2367.html
Prerequisite: 30 units of credit at Level 1; or 24 units of credit and enrolment in a Philosophy minor in Arts/Law (4782),(more info),/general/2018/SSAPO/EFTSL.html,Sydney,Undergraduate,ARTS2363,6,,Faculty of Arts and Social Sciences,/faculties/2018/artsc/artsc.html,See Tuition Fee Schedule,https://student.unsw.edu.au/fees-to-pay,See Class Timetable,http://www.timetable.unsw.edu.au/2018/ARTS2363.html,3,School of Humanities & Languages,http://hal.arts.unsw.edu.au/,School of Humanities and Languages,https://hal.arts.unsw.edu.au/,Chinese Philosophy ,http://legacy.handbook.unsw.edu.au/undergraduate/courses/2018/ARTS2363.html
Prerequisite: 30 units of credit at Level 1; or 24 units of credit and enrolment in a Philosophy minor in Arts/Law (4782),(more info),/general/2018/SSAPO/EFTSL.html,Sydney,Undergraduate,ARTS2362,6,,Faculty of Arts and Social Sciences,/faculties/2018/artsc/artsc.html,See Tuition Fee Schedule,https://student.unsw.edu.au/fees-to-pay,See Class Timetable,http://www.timetable.unsw.edu.au/2018/ARTS2362.html,3,School of Humanities & Languages,http://hal.arts.unsw.edu.au/,School of Humanities and Languages,https://hal.arts.unsw.edu.au/,Alienation and Social Critique ,http://legacy.handbook.unsw.edu.au/undergraduate/courses/2018/ARTS2362.html
Prerequisite: 30 units of credit at Level 1. Or 24 units of credit and enrolment in a History or Japanese extended minor in Arts/Education (4053) or a Women's & Gender Studies minor in Arts/Law (4782),(more info),/general/2018/SSAPO/EFTSL.html,Sydney,Undergraduate,ARTS2908,6,": ,This course can also be studied in the following specialisations: ,This course offers a thematic overview of Japanese history from prehistory to the Meiji Imperial Restoration of 1868, its central theme being the history of women, gender and sexualities. As the course is essentially a cultural and social history, you will not only discuss the ideas and social practices of ruling classes (civil aristocrats and then bushi/warriors), but will also examine popular Buddhism, folk religion, peasant rebellion, commoner resistance, and aspects of popular culture.",Faculty of Arts and Social Sciences,/faculties/2018/artsc/artsc.html,See Tuition Fee Schedule,https://student.unsw.edu.au/fees-to-pay,See Class Timetable,http://www.timetable.unsw.edu.au/2018/ARTS2908.html,3,School of Humanities & Languages,http://hal.arts.unsw.edu.au/,School of Humanities and Languages,https://hal.arts.unsw.edu.au/,"Premodern Japan: Status, Sex and Power ",http://legacy.handbook.unsw.edu.au/undergraduate/courses/2018/ARTS2908.html
Prerequisite: 72 units of credit overall including 18 units of credit in English courses and enrolment in an English major,(more info),/general/2018/SSAPO/EFTSL.html,Sydney,Undergraduate,ARTS3052,6,,Faculty of Arts and Social Sciences,/faculties/2018/artsc/artsc.html,See Tuition Fee Schedule,https://student.unsw.edu.au/fees-to-pay,See Class Timetable,http://www.timetable.unsw.edu.au/2018/ARTS3052.html,0,School of the Arts and Media,https://sam.arts.unsw.edu.au/,School of the Arts and Media,http://sam.arts.unsw.edu.au/,English Internship ,http://legacy.handbook.unsw.edu.au/undergraduate/courses/2018/ARTS3052.html
"Prerequisite: 48 UOC overall, including 6 UOC at level 1 and 6 UOC at level 2 in one of the following streams, Dance Studies, Media, Culture and Technology, or Theatre & Performance Studies",(more info),/general/2018/SSAPO/EFTSL.html,Sydney,Undergraduate,ARTS3125,6,,Faculty of Arts and Social Sciences,/faculties/2018/artsc/artsc.html,See Tuition Fee Schedule,https://student.unsw.edu.au/fees-to-pay,See Class Timetable,http://www.timetable.unsw.edu.au/2018/ARTS3125.html,3,School of the Arts and Media,https://sam.arts.unsw.edu.au/,School of the Arts and Media,http://sam.arts.unsw.edu.au/,Multimedia Performance ,http://legacy.handbook.unsw.edu.au/undergraduate/courses/2018/ARTS3125.html
"Prerequisite: 48 UOC overall, including 6 UOC at level 1 and 6 UOC at level 2 in one of the following streams, English",(more info),/general/2018/SSAPO/EFTSL.html,Sydney,Undergraduate,ARTS3050,6,,Faculty of Arts and Social Sciences,/faculties/2018/artsc/artsc.html,See Tuition Fee Schedule,https://student.unsw.edu.au/fees-to-pay,See Class Timetable,http://www.timetable.unsw.edu.au/2018/ARTS3050.html,3,School of the Arts and Media,https://sam.arts.unsw.edu.au/,School of the Arts and Media,http://sam.arts.unsw.edu.au/,Reading Natures ,http://legacy.handbook.unsw.edu.au/undergraduate/courses/2018/ARTS3050.html
"Prerequisite: 48 UOC overall, including 6 UOC at level 1 and 6 UOC at level 2 in one of the following streams, Australian Studies or History",(more info),/general/2018/SSAPO/EFTSL.html,Sydney,Undergraduate,ARTS3279,6,,Faculty of Arts and Social Sciences,/faculties/2018/artsc/artsc.html,See Tuition Fee Schedule,https://student.unsw.edu.au/fees-to-pay,See Class Timetable,http://www.timetable.unsw.edu.au/2018/ARTS3279.html,3,School of Humanities & Languages,http://hal.arts.unsw.edu.au/,School of Humanities and Languages,https://hal.arts.unsw.edu.au/,Inequality in Australia: A history ,http://legacy.handbook.unsw.edu.au/undergraduate/courses/2018/ARTS3279.html
"Prerequisite: 72uoc overall, including ARTS1270 and enrolment in a History major or minor",(more info),/general/2018/SSAPO/EFTSL.html,Sydney,Undergraduate,ARTS3270,6,,Faculty of Arts and Social Sciences,/faculties/2018/artsc/artsc.html,See Tuition Fee Schedule,https://student.unsw.edu.au/fees-to-pay,See Class Timetable,http://www.timetable.unsw.edu.au/2018/ARTS3270.html,2,School of Humanities & Languages,http://hal.arts.unsw.edu.au/,School of Humanities and Languages,https://hal.arts.unsw.edu.au/,Reflecting on Histories and Historians: Capstone ,http://legacy.handbook.unsw.edu.au/undergraduate/courses/2018/ARTS3270.html
"Prerequisite: 48 UOC overall, including 6 UOC at level 1 and 6 UOC at level 2 in one of the following streams, Dance Studies or Theatre & Performance Studies. Or 72 UOC overall and enrolment in an Art & Design program",(more info),/general/2018/SSAPO/EFTSL.html,Sydney,Undergraduate,ARTS3130,6,,Faculty of Arts and Social Sciences,/faculties/2018/artsc/artsc.html,See Tuition Fee Schedule,https://student.unsw.edu.au/fees-to-pay,See Class Timetable,http://www.timetable.unsw.edu.au/2018/ARTS3130.html,3,School of the Arts and Media,https://sam.arts.unsw.edu.au/,School of the Arts and Media,http://sam.arts.unsw.edu.au/,"Choreography, Performance and the Visual Arts ",http://legacy.handbook.unsw.edu.au/undergraduate/courses/2018/ARTS3130.html
"Prerequisite: 48 UOC overall, including 6 UOC at level 1 and 6 UOC at level 2 in one of the following streams, Environmental Humanities",(more info),/general/2018/SSAPO/EFTSL.html,Sydney,Undergraduate,ARTS3243,6,,Faculty of Arts and Social Sciences,/faculties/2018/artsc/artsc.html,See Tuition Fee Schedule,https://student.unsw.edu.au/fees-to-pay,See Class Timetable,http://www.timetable.unsw.edu.au/2018/ARTS3243.html,3,School of Humanities & Languages,http://hal.arts.unsw.edu.au/,School of Humanities and Languages,https://hal.arts.unsw.edu.au/,Remaking Nature: The Politics of Biotechnology ,http://legacy.handbook.unsw.edu.au/undergraduate/courses/2018/ARTS3243.html
